Chandrayaan2_Pass_ID,Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Center_X_px,Center_Y_px,Bounding_Box
ch2_iir_nri_20240524T1710004919_b_brw_d18.png,CH2_Pass4_Crater#5,30.2%,6.89°S,0.00°W,-6.889,-0.0041,563.75,87,5501,"[0, 4374, 174, 6629]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#1,58.1%,20.31°N,0.00°W,20.3084,-0.0041,130.75,87,261,"[0, 0, 174, 523]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#2,50.1%,19.39°S,0.00°W,-19.3931,-0.0041,185.25,87,5076,"[0, 4706, 174, 5447]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#3,42.7%,13.74°N,0.00°W,13.7368,-0.0041,198.0,87,1058,"[0, 662, 174, 1454]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#4,41.9%,17.33°N,0.00°W,17.3318,-0.0041,236.5,87,622,"[0, 149, 174, 1095]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#5,39.6%,2.80°N,0.00°W,2.8034,-0.0041,216.0,87,2384,"[0, 1952, 174, 2816]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#6,38.7%,7.36°S,0.00°W,-7.3631,-0.0041,241.5,87,3617,"[0, 3134, 174, 4100]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#7,37.8%,7.58°N,0.00°W,7.5775,-0.0041,252.5,87,1805,"[0, 1300, 174, 2310]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass5_Crater#8,36.7%,13.99°S,0.00°W,-13.9924,-0.0041,208.75,87,4421,"[0, 4004, 174, 4839]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#1,58.1%,20.31°N,0.00°W,20.3084,-0.0041,130.75,87,261,"[0, 0, 174, 523]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#2,50.1%,19.39°S,0.00°W,-19.3931,-0.0041,185.25,87,5076,"[0, 4706, 174, 5447]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#3,42.7%,13.74°N,0.00°W,13.7368,-0.0041,198.0,87,1058,"[0, 662, 174, 1454]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#4,41.9%,17.33°N,0.00°W,17.3318,-0.0041,236.5,87,622,"[0, 149, 174, 1095]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#5,39.6%,2.80°N,0.00°W,2.8034,-0.0041,216.0,87,2384,"[0, 1952, 174, 2816]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#6,38.7%,7.36°S,0.00°W,-7.3631,-0.0041,241.5,87,3617,"[0, 3134, 174, 4100]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#7,37.8%,7.58°N,0.00°W,7.5775,-0.0041,252.5,87,1805,"[0, 1300, 174, 2310]"
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,CH2_Pass6_Crater#8,36.7%,13.99°S,0.00°W,-13.9924,-0.0041,208.75,87,4421,"[0, 4004, 174, 4839]"
ch2_iir_nri_20191230T2120101468_b_brw_d18.png,CH2_Pass7_Crater#1,45.3%,26.28°S,0.00°W,-26.278,-0.0041,278.5,87,6932,"[0, 6375, 174, 7489]"
ch2_iir_nri_20191230T2120101468_b_brw_d18.png,CH2_Pass7_Crater#2,34.2%,15.45°N,0.00°W,15.4518,-0.0041,463.25,87,1871,"[0, 945, 174, 2798]"
ch2_iir_nri_20191230T2120101468_b_brw_d18.png,CH2_Pass7_Crater#3,31.5%,19.95°S,0.00°W,-19.9456,-0.0041,449.25,87,6164,"[0, 5266, 174, 7063]"
ch2_iir_nri_20191230T2120101468_b_brw_d18.png,CH2_Pass7_Crater#4,30.9%,23.12°N,0.00°W,23.1201,-0.0041,470.5,87,941,"[0, 0, 174, 1882]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#1,55.9%,25.37°N,0.00°W,25.3669,-0.0041,150.5,87,301,"[0, 0, 174, 602]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#2,47.9%,23.74°S,0.00°W,-23.7426,-0.0041,248.25,87,6257,"[0, 5761, 174, 6754]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#3,44.2%,23.38°N,0.00°W,23.3798,-0.0041,267.75,87,542,"[0, 7, 174, 1078]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#4,42.8%,17.11°N,0.00°W,17.1133,-0.0041,326.75,87,1302,"[0, 649, 174, 1956]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#5,42.0%,14.66°S,0.00°W,-14.6562,-0.0041,364.0,87,5155,"[0, 4427, 174, 5883]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#6,41.5%,8.24°N,0.00°W,8.2413,-0.0041,381.25,87,2378,"[0, 1616, 174, 3141]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#7,36.7%,0.04°S,0.00°W,-0.0371,-0.0041,405.5,87,3382,"[0, 2571, 174, 4193]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#8,36.0%,6.87°S,0.00°W,-6.8725,-0.0041,362.75,87,4211,"[0, 3486, 174, 4937]"
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,CH2_Pass8_Crater#9,31.3%,19.82°S,0.00°W,-19.8178,-0.0041,294.25,87,5781,"[0, 5193, 174, 6370]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#1,45.2%,29.49°S,0.00°W,-29.4855,-0.0041,305.75,87,7765,"[0, 7154, 174, 8377]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#2,39.5%,29.02°N,0.00°W,29.0237,-0.0041,329.25,87,669,"[0, 11, 174, 1328]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#3,37.9%,19.21°N,0.00°W,19.2117,-0.0041,421.5,87,1859,"[0, 1016, 174, 2702]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#4,35.7%,31.27°N,0.00°W,31.2747,-0.0041,198.0,87,396,"[0, 0, 174, 792]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#5,35.6%,19.81°S,0.00°W,-19.8054,-0.0041,482.75,87,6591,"[0, 5626, 174, 7557]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#6,35.5%,3.39°N,0.00°W,3.3889,-0.0041,487.0,87,3778,"[0, 2804, 174, 4752]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#7,34.4%,10.22°S,0.00°W,-10.216,-0.0041,469.25,87,5428,"[0, 4490, 174, 6367]"
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,CH2_Pass9_Crater#8,30.7%,11.32°N,0.00°W,11.3209,-0.0041,512.75,87,2816,"[0, 1791, 174, 3842]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#1,45.7%,35.81°S,0.00°W,-35.8097,-0.0041,351.75,87,9391,"[0, 8688, 174, 10095]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#2,33.7%,24.74°S,0.00°W,-24.7444,-0.0041,573.0,87,8049,"[0, 6903, 174, 9195]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#3,32.7%,27.48°N,0.00°W,27.4819,-0.0041,615.0,87,1715,"[0, 485, 174, 2945]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#4,32.4%,12.33°S,0.00°W,-12.3268,-0.0041,573.0,87,6543,"[0, 5397, 174, 7689]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#5,31.0%,1.95°S,0.00°W,-1.9542,-0.0041,616.75,87,5285,"[0, 4052, 174, 6519]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#6,30.3%,12.65°N,0.00°W,12.6484,-0.0041,578.5,87,3514,"[0, 2357, 174, 4671]"
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,CH2_Pass10_Crater#7,30.3%,35.41°N,0.00°W,35.4139,-0.0041,376.5,87,753,"[0, 0, 174, 1506]"
